央视,#genre#
CHC,#genre#
CHC 动作电影,http://119.114.35.209:9901/tsfile/live/1101_1.m3u8?key=txiptv&playlive=1&authid=0
CHC 家庭影院,http://119.114.35.209:9901/tsfile/live/1105_1.m3u8?key=txiptv&playlive=1&authid=0
CHC 高清电影,http://119.114.35.209:9901/tsfile/live/1104_1.m3u8?key=txiptv&playlive=1&authid=0

卫视,#genre#
黑龙江卫视,http://119.114.35.209:9901/tsfile/live/1145_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://119.114.35.209:9901/tsfile/live/1042_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://119.114.35.209:9901/tsfile/live/1165_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://119.114.35.209:9901/tsfile/live/1151_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://119.114.35.209:9901/tsfile/live/1129_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://119.114.35.209:9901/tsfile/live/1049_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://119.114.35.209:9901/tsfile/live/1050_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://119.114.35.209:9901/tsfile/live/1134_1.m3u8?key=txiptv&playlive=1&authid=0
山西卫视,http://119.114.35.209:9901/tsfile/live/1044_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://119.114.35.209:9901/tsfile/live/1140_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://119.114.35.209:9901/tsfile/live/1152_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://119.114.35.209:9901/tsfile/live/1128_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视,http://119.114.35.209:9901/tsfile/live/1133_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://119.114.35.209:9901/tsfile/live/1048_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://119.114.35.209:9901/tsfile/live/1147_1.m3u8?key=txiptv&playlive=1&authid=0
厦门卫视,http://119.114.35.209:9901/tsfile/live/1054_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://119.114.35.209:9901/tsfile/live/1143_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://119.114.35.209:9901/tsfile/live/1144_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://119.114.35.209:9901/tsfile/live/1127_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://119.114.35.209:9901/tsfile/live/1130_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://119.114.35.209:9901/tsfile/live/1132_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://119.114.35.209:9901/tsfile/live/1146_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://119.114.35.209:9901/tsfile/live/1046_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://119.114.35.209:9901/tsfile/live/1055_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://119.114.35.209:9901/tsfile/live/1056_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://119.114.35.209:9901/tsfile/live/1057_1.m3u8?key=txiptv&playlive=1&authid=0
内蒙古卫视,http://119.114.35.209:9901/tsfile/live/1058_1.m3u8?key=txiptv&playlive=1&authid=0
宁夏卫视,http://119.114.35.209:9901/tsfile/live/1059_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://119.114.35.209:9901/tsfile/live/1060_1.m3u8?key=txiptv&playlive=1&authid=0
新疆卫视,http://119.114.35.209:9901/tsfile/live/1061_1.m3u8?key=txiptv&playlive=1&authid=0
甘肃卫视,http://119.114.35.209:9901/tsfile/live/1062_1.m3u8?key=txiptv&playlive=1&authid=0
西藏卫视,http://119.114.35.209:9901/tsfile/live/1063_1.m3u8?key=txiptv&playlive=1&authid=0
海南卫视,http://119.114.35.209:9901/tsfile/live/1064_1.m3u8?key=txiptv&playlive=1&authid=0
兵团卫视,http://119.114.35.209:9901/tsfile/live/1066_1.m3u8?key=txiptv&playlive=1&authid=0
农林卫视,http://119.114.35.209:9901/tsfile/live/1067_1.m3u8?key=txiptv&playlive=1&authid=0

甘肃卫视,http://116.235.25.239:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视,http://116.235.25.239:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视,http://116.235.25.239:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://116.235.25.239:9901/tsfile/live/0118_1.m3u8?key=txiptv&playlive=1&authid=0
云南卫视,http://116.235.25.239:9901/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://116.235.25.239:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://116.235.25.239:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://116.235.25.239:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://116.235.25.239:9901/tsfile/live/0123_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://116.235.25.239:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://116.235.25.239:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视,http://116.235.25.239:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视,http://116.235.25.239:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://116.235.25.239:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://116.235.25.239:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视,http://116.235.25.239:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://116.235.25.239:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://116.235.25.239:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&authid=0
陕西卫视,http://116.235.25.239:9901/tsfile/live/0136_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视,http://116.235.25.239:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://116.235.25.239:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视,http://116.235.25.239:9901/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视,http://116.235.25.239:9901/tsfile/live/0142_1.m3u8?key=txiptv&playlive=1&authid=0

吉林卫视,http://125.32.116.75:9901/tsfile/live/0116_1.m3u8?key=txiptv&playlive=0&authid=0
辽宁卫视,http://125.32.116.75:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=0&authid=0
黑龙江卫视,http://125.32.116.75:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://125.32.116.75:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=0&authid=0
浙江卫视,http://125.32.116.75:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=0&authid=0
河北卫视,http://125.32.116.75:9901/tsfile/live/0117_1.m3u8?key=txiptv&playlive=0&authid=0
天津卫视,http://125.32.116.75:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=0&authid=0
东方卫视,http://125.32.116.75:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=0&authid=0
安徽卫视,http://125.32.116.75:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=0&authid=0
东南卫视,http://125.32.116.75:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=0&authid=0
江西卫视,http://125.32.116.75:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=0&authid=0
山东卫视,http://125.32.116.75:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=0&authid=0
